fecha,valor
2021-11-30,1898
2021-12-01,1825
2021-12-02,1818
2021-12-03,1771
2021-12-04,1771
2021-12-05,1771
2021-12-06,1738
2021-12-07,1699
2021-12-08,1698
2021-12-09,1697
2021-12-10,1715
2021-12-11,1726
2021-12-12,1726
2021-12-13,1697
2021-12-14,1694
2021-12-15,1689
2021-12-16,1683
2021-12-17,1721
2021-12-18,1721
2021-12-19,1721
2021-12-20,1749
2021-12-21,1743
2021-12-22,1754
2021-12-23,1752
2021-12-24,1753
2021-12-25,1753
2021-12-26,1753
2021-12-27,1742
2021-12-28,1718
2021-12-29,1695
2021-12-30,1697
2021-12-31,1697
2022-01-01,1697
2022-01-02,1697
2022-01-03,1709
2022-01-04,1730
2022-01-05,1755
2022-01-06,1786
2022-01-07,1801
2022-01-08,1801
2022-01-09,1801
2022-01-10,1819
2022-01-11,1820
2022-01-12,1833
2022-01-13,1863
2022-01-14,1884
2022-01-15,1884
2022-01-16,1884
2022-01-17,1885
2022-01-18,1894
2022-01-19,1873
2022-01-20,1890
2022-01-21,1917
2022-01-22,1917
2022-01-23,1917
2022-01-24,1962
2022-01-25,1944
2022-01-26,1887
2022-01-27,1906
2022-01-28,1841
2022-01-29,1841
2022-01-30,1841
2022-01-31,1724
2022-02-01,1747
2022-02-02,1739
2022-02-03,1755
2022-02-04,1773
2022-02-05,1773
2022-02-06,1773
2022-02-07,1784
2022-02-08,1771
2022-02-09,1769
2022-02-10,1778
2022-02-11,1786
2022-02-12,1786
2022-02-13,1786
2022-02-14,1803
2022-02-15,1768
2022-02-16,1742
2022-02-17,1758
2022-02-18,1730
2022-02-19,1730
2022-02-20,1730
2022-02-21,1709
2022-02-22,1734
2022-02-23,1735
2022-02-24,1760
2022-02-25,1777
2022-02-26,1777
2022-02-27,1777
2022-02-28,1832
2022-03-01,1832
2022-03-02,1865
2022-03-03,1851
2022-03-04,1928
2022-03-05,1928
2022-03-06,1928
2022-03-07,1975
2022-03-10,1834
2022-03-11,1796
2022-03-12,1796
2022-03-13,1796
2022-03-14,1807
2022-03-15,1828
2022-03-16,1787
2022-03-17,1766
2022-03-18,1786
2022-03-19,1786
2022-03-20,1786
2022-03-21,1791
2022-03-22,1794
2022-03-23,1810
2022-03-24,1832
2022-03-25,1798
2022-03-26,1798
2022-03-27,1798
2022-03-28,1746
2022-03-29,1730
2022-03-30,1724
2022-03-31,1736
2022-04-01,1711
2022-04-02,1711
2022-04-03,1711
2022-04-04,1695
2022-04-05,1710
2022-04-06,1739
2022-04-07,1727
2022-04-08,1704
2022-04-09,1704
2022-04-10,1704
2022-04-11,1724
2022-04-12,1733
2022-04-13,1719
2022-04-14,1702
2022-04-15,1702
2022-04-16,1702
2022-04-17,1702
2022-04-18,1691
2022-04-19,1687
2022-04-20,1672
2022-04-21,1721
2022-04-22,1738
2022-04-23,1738
2022-04-24,1738
2022-04-25,1780
2022-04-26,1756
2022-04-27,1778
2022-04-28,1778
2022-04-29,1801
2022-04-30,1801
2022-05-01,1801
2022-05-02,1818
2022-05-03,1795
2022-05-04,1750
2022-05-05,1783
2022-05-06,1806
2022-05-07,1806
2022-05-08,1806
2022-05-09,1847
2022-05-10,1858
2022-05-11,1835
2022-05-12,1887
2022-05-13,1894
2022-05-14,1894
2022-05-15,1894
2022-05-16,1936
2022-05-17,1924
2022-05-18,1950
2022-05-19,1955
2022-05-20,1945
2022-05-21,1945
2022-05-22,1945
2022-05-23,1912
2022-05-24,1936
2022-05-25,1924
2022-05-26,1926
2022-05-27,1908
2022-05-28,1908
2022-05-29,1908
2022-05-30,1909
2022-05-31,1919
2022-06-01,1912
2022-06-02,1896
2022-06-03,1893
2022-06-04,1893
2022-06-05,1893
2022-06-06,1905
2022-06-07,1931
2022-06-08,1970
2022-06-09,2051
2022-06-10,2044
2022-06-11,2044
2022-06-12,2044
2022-06-13,2113
2022-06-14,2126
2022-06-15,2109
2022-06-16,2190
2022-06-17,2190
2022-06-18,2190
2022-06-19,2190
2022-06-20,2219
2022-06-21,2201
2022-06-22,2245
2022-06-23,2285
2022-06-24,2400
2022-06-25,2400
2022-06-26,2400
2022-06-27,2430
2022-06-28,2508
2022-06-29,2459
2022-06-30,2374
2022-07-01,2374
2022-07-02,2374
2022-07-03,2374
2022-07-04,2374
2022-07-05,2574
2022-07-06,2688
2022-07-07,2628
2022-07-08,2648
2022-07-09,2648
2022-07-10,2648
2022-07-11,2667
2022-07-12,2728
2022-07-13,2734
2022-07-14,2756
2022-07-15,2754
2022-07-16,2754
2022-07-17,2754
2022-07-18,2810
2022-07-19,2792
2022-07-20,2794
2022-07-21,2838
2022-07-22,2943
2022-07-23,2943
2022-07-24,2943
2022-07-25,2927
2022-07-26,2903
2022-07-27,2684
2022-07-28,2538
2022-07-29,2395
2022-07-30,2395
2022-07-31,2395
2022-08-01,2394
2022-08-02,2412
2022-08-03,2394
2022-08-04,2457
2022-08-05,2398
2022-08-06,2398
2022-08-07,2398
2022-08-08,2364
2022-08-09,2470
2022-08-10,2464
2022-08-11,2441
2022-08-12,2458
2022-08-13,2458
2022-08-14,2458
2022-08-15,2458
2022-08-16,2371
2022-08-17,2419
2022-08-18,2446
2022-08-19,2458
2022-08-20,2458
2022-08-21,2458
2022-08-22,2441
2022-08-23,2396
2022-08-24,2347
2022-08-25,2316
2022-08-26,2400
2022-08-27,2400
2022-08-28,2400
2022-08-29,2418
2022-08-30,2430
2022-08-31,2389
2022-09-01,2388
2022-09-02,2424
2022-09-03,2424
2022-09-04,2424
2022-09-05,2429
2022-09-06,2366
2022-09-07,2360
2022-09-08,2332
2022-09-09,2323
2022-09-10,2323
2022-09-11,2323
2022-09-12,2306
2022-09-13,2310
2022-09-14,2330
2022-09-15,2330
2022-09-16,2383
2022-09-17,2383
2022-09-18,2383
2022-09-19,2384
2022-09-20,2388
2022-09-21,2393
2022-09-22,2434
2022-09-23,2528
2022-09-24,2528
2022-09-25,2528
2022-09-26,2596
2022-09-27,2691
2022-09-28,2665
2022-09-29,2702
2022-10-04,2683
2022-10-05,2768
2022-10-06,2771
2022-10-07,2800
2022-10-08,2800
2022-10-09,2800
2022-10-10,2800
2022-10-11,2824
2022-10-12,2821
2022-10-13,2800
2022-10-14,2827
2022-10-15,2827
2022-10-16,2827
2022-10-17,2840
2022-10-18,2789
2022-10-19,2813
2022-10-20,2798
2022-10-21,2682
2022-10-22,2682
2022-10-23,2682
2022-10-24,2522
2022-10-25,2494
2022-10-26,2568
2022-10-27,2589
2022-10-28,2590
2022-10-29,2590
2022-10-30,2590
2022-10-31,2625
2022-11-01,2583
2022-11-02,2569
2022-11-03,2590
2022-11-04,2569
2022-11-05,2569
2022-11-06,2569
2022-11-07,2543
2022-11-08,2487
2022-11-09,2524
2022-11-10,2484
2022-11-11,2484
2022-11-12,2484
2022-11-13,2484
2022-11-14,2427
2022-11-15,2381
2022-11-16,2330
2022-11-17,2385
2022-11-18,2424
2022-11-19,2439
2022-11-20,2439
2022-11-21,2427
2022-11-22,2425
2022-11-23,2409
2022-11-24,2406
2022-11-25,2370
2022-11-26,2370
2022-11-27,2370
2022-11-28,2378
2022-11-29,2331
2022-11-30,2230
2022-12-01,2207
2022-12-02,2245
2022-12-03,2245
2022-12-04,2245
2022-12-05,2297
2022-12-06,2386
2022-12-07,2326
2022-12-08,2317
2022-12-09,2343
2022-12-10,2343
2022-12-11,2343
2022-12-12,2271
2022-12-13,2230
2022-12-14,2242
2022-12-15,2221
2022-12-16,2175
2022-12-17,2175
2022-12-18,2175
2022-12-19,2147
2022-12-20,2124
2022-12-21,2080
2022-12-22,2097
2022-12-23,2183
2022-12-24,2183
2022-12-25,2183
2022-12-26,2183
2022-12-27,2154
2022-12-28,2154
2022-12-29,2160
2022-12-30,2213
2022-12-31,2213
2023-01-01,2213
2023-01-02,2213
2023-01-03,2153
2023-01-04,2089
2023-01-05,2118
2023-01-06,2094
2023-01-07,2094
2023-01-08,2094
2023-01-09,2079
2023-01-10,2059
2023-01-11,1996
2023-01-12,1994
2023-01-13,1980
2023-01-14,1980
2023-01-15,1980
2023-01-16,1980
2023-01-17,1881
2023-01-18,1807
2023-01-19,1938
2023-01-20,1876
2023-01-21,1876
2023-01-22,1876
2023-01-23,1843
2023-01-24,1825
2023-01-25,1834
2023-01-26,1837
2023-01-27,1826
2023-01-28,1826
2023-01-29,1826
2023-01-30,1806
2023-01-31,1817
2023-02-01,1820
2023-02-02,1795
2023-02-03,1845
2023-02-04,1845
2023-02-05,1845
2023-02-06,1912
2023-02-07,1907
2023-02-08,1912
2023-02-09,1928
2023-02-10,1962
2023-02-11,1962
2023-02-12,1962
2023-02-13,1966
2023-02-14,1968
2023-02-15,1997
2023-02-16,2056
2023-02-17,2123
2023-02-18,2123
2023-02-19,2123
2023-02-20,2123
2023-02-21,2183
2023-02-22,2127
2023-02-23,1974
2023-02-24,1996
2023-02-25,1996
2023-02-26,1996
2023-02-27,1966
2023-02-28,1958
2023-03-01,2036
2023-03-02,2088
2023-03-03,2081
2023-03-04,2081
2023-03-05,2081
2023-03-06,2047
2023-03-07,2044
2023-03-08,2098
2023-03-09,2134
2023-03-10,2207
2023-03-11,2207
2023-03-12,2207
2023-03-13,2323
2023-03-14,2293
2023-03-15,2397
2023-03-16,2324
2023-03-17,2383
2023-03-18,2383
2023-03-19,2383
2023-03-20,2383
2023-03-21,2335
2023-03-22,2458
2023-03-23,2497
2023-03-24,2549
2023-03-25,2549
2023-03-26,2549
2023-03-27,2531
2023-03-28,2521
2023-03-29,2365
2023-03-30,2304
2023-03-31,2276
2023-04-01,2276
2023-04-02,2276
2023-04-03,2280
2023-04-04,2351
2023-04-05,2432
2023-04-06,2472
2023-04-07,2472
2023-04-08,2472
2023-04-09,2472
2023-04-10,2429
2023-04-11,2440
2023-04-12,2385
2023-04-13,2376
2023-04-14,2352
2023-04-15,2410
2023-04-16,2410
2023-04-17,2407
2023-04-18,2474
2023-04-19,2581
2023-04-20,2617
2023-04-21,2622
2023-04-22,2622
2023-04-23,2622
2023-04-24,2624
2023-04-25,2648
2023-04-26,2640
2023-04-27,2657
2023-04-28,2656
2023-04-29,2656
2023-04-30,2656
2023-05-01,2662
2023-05-02,2647
2023-05-03,2623
2023-05-04,2582
2023-05-05,2576
2023-05-06,2576
2023-05-07,2576
2023-05-08,2577
2023-05-09,2524
2023-05-10,2507
2023-05-11,2523
2023-05-12,2584
2023-05-13,2584
2023-05-14,2584
2023-05-15,2587
2023-05-16,2580
2023-05-17,2550
2023-05-18,2594
2023-05-19,2600
2023-05-20,2600
2023-05-21,2600
2023-05-22,2578
2023-05-23,2577
2023-05-24,2590
2023-05-25,2590
2023-05-26,2590
2023-05-27,2590
2023-05-28,2590
2023-05-29,2590
2023-05-30,2590
2023-05-31,2590
2023-06-01,2616
2023-06-02,2561
2023-06-03,2561
2023-06-04,2561
2023-06-05,2518
2023-06-06,2396
2023-06-07,2341
2023-06-08,2388
2023-06-09,2378
2023-06-10,2378
2023-06-11,2378
2023-06-12,2345
2023-06-13,2311
2023-06-14,2330
2023-06-15,2359
2023-06-16,2371
2023-06-17,2371
2023-06-18,2371
2023-06-19,2371
2023-06-20,2356
2023-06-21,2307
2023-06-22,2216
2023-06-23,2232
2023-06-24,2232
2023-06-25,2232
2023-06-26,2095
2023-06-27,2120
2023-06-28,2098
2023-06-29,2061
2023-06-30,2028
2023-07-01,2028
2023-07-02,2028
2023-07-03,2029
2023-07-04,2029
2023-07-05,1941
2023-07-06,2053
2023-07-07,2103
2023-07-08,2103
2023-07-09,2103
2023-07-10,2044
2023-07-11,1981
2023-07-12,2005
2023-07-13,2038
2023-07-14,2112
2023-07-15,2112
2023-07-16,2112
2023-07-17,2042
2023-07-18,2023
2023-07-19,2064
2023-07-20,2038
2023-07-21,2021
2023-07-24,1960
2023-07-25,1951
2023-07-26,1991
2023-07-27,2017
2023-07-28,1960
2023-07-29,1960
2023-07-30,1960
2023-07-31,1980
2023-08-01,1990
2023-08-02,2011
2023-08-03,2024
2023-08-04,2020
2023-08-05,2020
2023-08-06,2020
2023-08-07,2020
2023-08-08,2010
2023-08-09,1975
2023-08-10,1911
2023-08-11,1915
2023-08-12,1915
2023-08-13,1915
2023-08-14,1914
2023-08-15,2172
2023-08-16,2187
2023-08-17,2185
2023-08-18,2128
2023-08-19,2128
2023-08-20,2128
2023-08-21,2128
2023-08-22,2049
2023-08-23,2035
2023-08-24,2050
2023-08-25,2050
2023-08-26,2050
2023-08-27,2050
2023-08-28,2041
2023-08-29,2052
2023-08-30,2094
2023-08-31,2105
2023-09-01,2090
2023-09-02,2090
2023-09-03,2090
2023-09-04,2091
2023-09-05,2136
2023-09-06,2178
2023-09-07,2131
2023-09-08,2155
2023-09-09,2155
2023-09-10,2155
2023-09-11,2170
2023-09-12,2176
2023-09-13,2168
2023-09-14,2156
2023-09-15,2169
2023-09-16,2169
2023-09-17,2169
2023-09-18,2170
2023-09-19,2194
2023-09-20,2265
2023-09-21,2375
2023-09-22,2371
2023-09-23,2371
2023-09-24,2371
2023-09-25,2368
2023-09-26,2385
2023-09-27,2399
2023-09-28,2486
2023-09-29,2543
2023-09-30,2543
2023-10-01,2543
2023-10-02,2600
2023-10-03,2637
2023-10-04,2698
2023-10-05,2719
2023-10-06,2675
2023-10-07,2675
2023-10-08,2675
2023-10-09,2674
2023-10-10,2622
2023-10-11,2523
2023-10-12,2510
2023-10-13,2506
2023-10-14,2506
2023-10-15,2506
2023-10-16,2506
2023-10-17,2375
2023-10-18,2390
2023-10-19,2403
2023-10-20,2412
2023-10-21,2412
2023-10-22,2412
2023-10-23,2611
2023-10-24,2496
2023-10-25,2475
2023-10-26,2531
2023-10-27,2560
2023-10-28,2560
2023-10-29,2560
2023-10-30,2583
2023-10-31,2577
2023-11-01,2601
2023-11-02,2546
2023-11-03,2525
2023-11-04,2525
2023-11-05,2525
2023-11-06,2525
2023-11-07,2525
2023-11-08,2458
2023-11-09,2466
2023-11-10,2475
2023-11-11,2475
2023-11-12,2475
2023-11-13,2495
2023-11-14,2497
2023-11-15,2452
2023-11-16,2397
2023-11-17,2412
2023-11-18,2412
2023-11-19,2412
2023-11-20,2243
2023-11-21,2175
2023-11-22,2124
2023-11-23,2125
2023-11-24,1961
2023-11-25,1961
2023-11-26,1961
2023-11-27,2006
2023-11-28,2054
2023-11-29,2020
2023-11-30,1982
2023-12-01,1982
2023-12-02,1982
2023-12-03,1982
2023-12-04,1950
2023-12-05,1937
2023-12-06,1896
2023-12-07,1896
2023-12-08,1923
2023-12-09,1923
2023-12-10,1923
2023-12-11,1935
2023-12-12,1879
2023-12-13,1815
2023-12-14,1828
2023-12-15,1854
2023-12-16,1854
2023-12-17,1854
2023-12-18,1844
2023-12-19,1853
2023-12-20,1872
2023-12-21,1860
2023-12-22,1864
2023-12-23,1864
2023-12-24,1864
2023-12-25,1864
2023-12-26,1866
2023-12-27,1894
2023-12-28,1892
2023-12-29,1906
2023-12-30,1906
2023-12-31,1906
2024-01-01,1906
2024-01-02,1938
2024-01-03,1986
2024-01-04,2018
2024-01-05,1998
2024-01-06,1998
2024-01-07,1998
2024-01-08,2049
2024-01-09,2102
2024-01-10,1985
2024-01-11,1926
2024-01-12,1904
2024-01-13,1904
2024-01-14,1904
2024-01-15,1905
2024-01-16,1920
2024-01-17,1948
2024-01-18,1966
2024-01-19,1971
2024-01-20,1971
2024-01-21,1971
2024-01-22,1935
2024-01-23,1892
2024-01-24,1897
2024-01-25,1870
2024-01-26,1856
2024-01-27,1856
2024-01-28,1856
2024-01-29,1888
2024-01-30,1936
2024-01-31,1950
2024-02-01,1959
2024-02-02,1919
2024-02-03,1919
2024-02-04,1919
2024-02-05,1869
2024-02-06,1832
2024-02-07,1928
2024-02-08,1956
2024-02-09,1993
2024-02-10,1993
2024-02-11,1993
2024-02-12,1993
2024-02-13,2032
2024-02-14,1930
2024-02-15,1895
2024-02-16,1788
2024-02-17,1788
2024-02-18,1788
2024-02-19,1788
2024-02-20,1762
2024-02-21,1786
2024-02-22,1710
2024-02-23,1686
2024-02-24,1686
2024-02-25,1686
2024-02-26,1709
2024-02-27,1753
2024-02-28,1730
2024-02-29,1705
2024-03-01,1635
2024-03-02,1635
2024-03-03,1635
2024-03-04,1590
2024-03-05,1617
2024-03-06,1621
2024-03-07,1643
2024-03-08,1690
2024-03-09,1690
2024-03-10,1690
2024-03-11,1713
2024-03-12,1645
2024-03-13,1596
2024-03-14,1648
2024-03-15,1603
2024-03-16,1603
2024-03-17,1603
2024-03-18,1581
2024-03-19,1535
2024-03-20,1498
2024-03-21,1460
2024-03-22,1432
2024-03-23,1432
2024-03-24,1432
2024-03-25,1421
2024-03-26,1430
2024-03-27,1442
2024-03-28,1439
2024-03-29,1439
2024-03-30,1439
2024-03-31,1439
2024-04-01,1439
2024-04-02,1439
2024-04-03,1419
2024-04-04,1359
2024-04-05,1302
2024-04-06,1302
2024-04-07,1302
2024-04-08,1205
2024-04-09,1220
2024-04-10,1276
2024-04-11,1290
2024-04-12,1331
2024-04-13,1331
2024-04-14,1331
2024-04-15,1375
2024-04-16,1381
2024-04-17,1270
2024-04-18,1242
2024-04-19,1216
2024-04-20,1216
2024-04-21,1216
2024-04-22,1148
2024-04-23,1174
2024-04-24,1205
2024-04-25,1234
2024-04-26,1210
2024-04-27,1210
2024-04-28,1210
2024-04-29,1208
2024-04-30,1216
2024-05-01,1224
2024-05-02,1236
2024-05-03,1243
2024-05-04,1243
2024-05-05,1243
2024-05-06,1229
2024-05-07,1219
2024-05-08,1234
2024-05-09,1263
2024-05-10,1272
2024-05-11,1272
2024-05-12,1272
2024-05-13,1248
2024-05-14,1244
2024-05-15,1235
2024-05-16,1254
2024-05-17,1263
2024-05-18,1263
2024-05-19,1263
2024-05-20,1258
2024-05-21,1298
2024-05-22,1394
2024-05-23,1433
2024-05-24,1443
2024-05-25,1443
2024-05-26,1443
2024-05-27,1443
2024-05-28,1416
2024-05-29,1376
2024-05-30,1312
2024-05-31,1312
2024-06-01,1312
2024-06-02,1312
2024-06-03,1414
2024-06-04,1494
2024-06-05,1528
2024-06-06,1596
2024-06-07,1582
2024-06-08,1582
2024-06-09,1582
2024-06-10,1488
2024-06-11,1525
2024-06-12,1484
2024-06-13,1421
2024-06-14,1382
2024-06-15,1382
2024-06-16,1382
2024-06-17,1382
2024-06-18,1385
2024-06-19,1384
2024-06-20,1402
2024-06-21,1420
2024-06-22,1420
2024-06-23,1420
2024-06-24,1443
2024-06-25,1440
2024-06-26,1429
2024-06-27,1445
2024-06-28,1456
2024-06-29,1456
2024-06-30,1456
2024-07-01,1513
2024-07-02,1536
2024-07-03,1521
2024-07-04,1523
2024-07-05,1406
2024-07-06,1406
2024-07-07,1406
2024-07-08,1496
2024-07-09,1491
2024-07-10,1477
2024-07-11,1473
2024-07-12,1511
2024-07-13,1511
2024-07-14,1511
2024-07-15,1555
2024-07-16,1584
2024-07-17,1593
2024-07-18,1587
2024-07-19,1590
2024-07-20,1590
2024-07-21,1590
2024-07-22,1570
2024-07-23,1551
2024-07-24,1577
2024-07-25,1589
2024-07-26,1562
2024-07-27,1562
2024-07-28,1589
2024-07-29,1562
2024-07-30,1553
2024-07-31,1556
2024-08-01,1507
2024-08-02,1550
2024-08-03,1550
2024-08-04,1550
2024-08-05,1612
2024-08-06,1653
2024-08-07,1625
2024-08-08,1574
2024-08-09,1552
2024-08-10,1552
2024-08-11,1552
2024-08-12,1558
2024-08-13,1560
2024-08-14,1557
2024-08-15,1515
2024-08-16,1490
2024-08-17,1490
2024-08-18,1490
2024-08-19,1471
2024-08-20,1471
2024-08-21,1493
2024-08-22,1525
2024-08-23,1560
2024-08-24,1560
2024-08-25,1560
2024-08-26,1516
2024-08-27,1516
2024-08-28,1510
2024-08-29,1484
2024-08-30,1444
2024-08-31,1444
2024-09-01,1444
2024-09-02,1433
2024-09-03,1433
2024-09-04,1467
2024-09-05,1465
2024-09-06,1452
2024-09-07,1452
2024-09-08,1452
2024-09-09,1483
2024-09-10,1442
2024-09-11,1445
2024-09-12,1445
2024-09-13,1422
2024-09-14,1422
2024-09-15,1422
2024-09-16,1400
2024-09-17,1365
2024-09-18,1370
2024-09-19,1363
2024-09-20,1301
2024-09-21,1301
2024-09-22,1301
2024-09-23,1319
2024-09-24,1308
2024-09-25,1303
2024-09-26,1304
2024-09-27,1302
2024-09-28,1302
2024-09-29,1302
2024-09-30,1311
2024-10-01,1290
2024-10-02,1288
2024-10-03,1276
2024-10-04,1265
2024-10-05,1265
2024-10-06,1265
2024-10-07,1258
2024-10-08,1207
2024-10-09,1188
2024-10-10,1121
2024-10-11,1126
2024-10-12,1126
2024-10-13,1126
2024-10-14,1106
2024-10-15,1106
2024-10-16,1044
2024-10-17,1052
2024-10-18,1099
2024-10-19,1099
2024-10-20,1099
2024-10-21,1097
2024-10-22,1100
2024-10-23,1099
2024-10-24,1103
2024-10-25,1036
2024-10-26,1036
2024-10-27,1036
2024-10-28,967
2024-10-29,914
2024-10-30,933
2024-10-31,956
2024-11-01,984
2024-11-02,984
2024-11-03,984
